answer,mutation,rejected,error_count,codes
ABSOLUTIST,privacy-answer,true,4,private.answer|privacy.leakage|public.privateField|hash.publicHash
ABSOLUTIST,hash,true,1,hash.publicHash
ABSOLUTIST,version,true,1,version.rules
ABSORPTION,grid,true,3,private.schema|private.answer|certificate.missing
ABSORPTION,hexalink,true,3,private.schema|private.answer|certificate.missing
ABSORPTION,certificate-score,true,1,hash.certificateHash
ABSORPTION,privacy-answer,true,4,private.answer|privacy.leakage|public.privateField|hash.publicHash
ABSORPTION,hash,true,1,hash.publicHash
ABSORPTION,version,true,1,version.rules
ABSTAINING,grid,true,3,private.schema|private.answer|certificate.missing
ABSTAINING,hexalink,true,3,private.schema|private.answer|certificate.missing
ABSTAINING,certificate-score,true,1,hash.certificateHash
ABSTAINING,privacy-answer,true,4,private.answer|privacy.leakage|public.privateField|hash.publicHash
ABSTAINING,hash,true,1,hash.publicHash
ABSTAINING,version,true,1,version.rules
ABSTENTION,grid,true,3,private.schema|private.answer|certificate.missing
ABSTENTION,hexalink,true,3,private.schema|private.answer|certificate.missing
ABSTENTION,certificate-score,true,1,hash.certificateHash
ABSTENTION,privacy-answer,true,4,private.answer|privacy.leakage|public.privateField|hash.publicHash
ABSTENTION,hash,true,1,hash.publicHash
ABSTENTION,version,true,1,version.rules
ABSTINENCE,grid,true,3,private.schema|private.answer|certificate.missing
ABSTINENCE,hexalink,true,3,private.schema|private.answer|certificate.missing
ABSTINENCE,certificate-score,true,1,hash.certificateHash
ABSTINENCE,privacy-answer,true,4,private.answer|privacy.leakage|public.privateField|hash.publicHash
ABSTINENCE,hash,true,1,hash.publicHash
ABSTINENCE,version,true,1,version.rules
ABYSSINIAN,grid,true,3,private.schema|private.answer|certificate.missing
ABYSSINIAN,hexalink,true,3,private.schema|private.answer|certificate.missing
ABYSSINIAN,certificate-score,true,1,hash.certificateHash
ABYSSINIAN,privacy-answer,true,4,private.answer|privacy.leakage|public.privateField|hash.publicHash
ABYSSINIAN,hash,true,1,hash.publicHash
ABYSSINIAN,version,true,1,version.rules
ACCELERANT,grid,true,3,private.schema|private.answer|certificate.missing
ACCELERANT,hexalink,true,3,private.schema|private.answer|certificate.missing
ACCELERANT,certificate-score,true,1,hash.certificateHash
ACCELERANT,privacy-answer,true,4,private.answer|privacy.leakage|public.privateField|hash.publicHash
ACCELERANT,hash,true,1,hash.publicHash
ACCELERANT,version,true,1,version.rules
ACCEPTABLE,grid,true,3,private.schema|private.answer|certificate.missing
ACCEPTABLE,hexalink,true,3,private.schema|private.answer|certificate.missing
ACCEPTABLE,certificate-score,true,1,hash.certificateHash
ACCEPTABLE,privacy-answer,true,4,private.answer|privacy.leakage|public.privateField|hash.publicHash
ACCEPTABLE,hash,true,1,hash.publicHash
ACCEPTABLE,version,true,1,version.rules
ACCIDENTAL,grid,true,3,private.schema|private.answer|certificate.missing
ACCIDENTAL,hexalink,true,3,private.schema|private.answer|certificate.missing
ACCIDENTAL,certificate-score,true,1,hash.certificateHash
ACCIDENTAL,privacy-answer,true,4,private.answer|privacy.leakage|public.privateField|hash.publicHash
ACCIDENTAL,hash,true,1,hash.publicHash
ACCIDENTAL,version,true,1,version.rules
ACCLAIMING,grid,true,3,private.schema|private.answer|certificate.missing
ACCLAIMING,hexalink,true,3,private.schema|private.answer|certificate.missing
ACCLAIMING,certificate-score,true,1,hash.certificateHash
ACCLAIMING,privacy-answer,true,4,private.answer|privacy.leakage|public.privateField|hash.publicHash
ACCLAIMING,hash,true,1,hash.publicHash
ACCLAIMING,version,true,1,version.rules
ACCLIMATED,grid,true,3,private.schema|private.answer|certificate.missing
ACCLIMATED,hexalink,true,3,private.schema|private.answer|certificate.missing
ACCLIMATED,certificate-score,true,1,hash.certificateHash
ACCLIMATED,privacy-answer,true,4,private.answer|privacy.leakage|public.privateField|hash.publicHash
ACCLIMATED,hash,true,1,hash.publicHash
ACCLIMATED,version,true,1,version.rules
ACCORDIONS,grid,true,6,private.schema|private.answer|hexalink.lettersMismatch|hexalink.canonicalForward|hexalink.canonicalReverse|certificate.missing
ACCORDIONS,hexalink,true,3,private.schema|private.answer|certificate.missing
ACCORDIONS,certificate-score,true,1,hash.certificateHash
ACCORDIONS,privacy-answer,true,4,private.answer|privacy.leakage|public.privateField|hash.publicHash
ACCORDIONS,hash,true,1,hash.publicHash
ACCORDIONS,version,true,1,version.rules
ACCOUNTANT,grid,true,3,private.schema|private.answer|certificate.missing
ACCOUNTANT,hexalink,true,3,private.schema|private.answer|certificate.missing
ACCOUNTANT,certificate-score,true,1,hash.certificateHash
ACCOUNTANT,privacy-answer,true,4,private.answer|privacy.leakage|public.privateField|hash.publicHash
ACCOUNTANT,hash,true,1,hash.publicHash
ACCOUNTANT,version,true,1,version.rules
